N:		T[ms]		Stdev[ms]	  Samples 
4900		1.65618		0.14748		5

4900		19.8496		0.795705		5

4900		19.6598		0.773756		5

4900		19.5865		0.56889		5

5000		3.09298		0.200443		5

5000		6.10374		0.35858		5

5000		3.00468		0.175487		5

5000		1.47212		0.0338915		5

5000		2.94774		0.0731134		5

5000		1.4802		0.0408664		5

5000		21.1031		1.35571		5

5000		20.5421		0.749738		5

5000		20.1344		0.187058		5

5100		3.19398		0.121796		5

5100		6.3296		0.141882		5

5100		3.07372		0.0960137		5

5100		1.60626		0.0935995		5

5100		3.02752		0.00804873		5

5100		1.59788		0.0667167		5

5100		21.5517		0.461046		5

5100		21.1497		0.650482		5

5100		21.0051		0.197075		5

5200		3.31322		0.0860887		5

5200		6.47762		0.0609424		5

5200		3.6995		0.706156		5

5200		1.65662		0.182065		5

5200		3.1695		0.052901		5

5200		1.66374		0.174378		5

5200		22.3157		0.523816		5

5200		21.9446		0.50311		5

5200		24.694		2.29975		5

5300		3.47192		0.114239		5

5300		6.71808		0.0501581		5

5300		3.32908		0.145552		5

5300		1.65334		0.0348204		5

5300		3.35844		0.133868		5

5300		1.68258		0.0905751		5

5300		23.0093		0.712795		5

5300		23.293		1.5993		5

5300		22.85		0.535488		5

5400		3.59368		0.093926		5

5400		7.01438		0.136855		5

5400		3.47152		0.108544		5

5400		1.72472		0.0118708		5

5400		3.53178		0.306051		5

5400		1.7598		0.0650878		5

5400		24.2229		1.05226		5

5400		23.8106		0.821225		5

5400		24.3089		1.68694		5

5500		3.63688		0.098772		5

5500		7.49294		0.319974		5

5500		3.56482		0.126666		5

5500		1.80236		0.0934964		5

5500		3.67522		0.232589		5

5500		1.79378		0.0532163		5

5500		25.3069		1.1288		5

5500		24.7533		0.896752		5

5500		24.3566		0.18698		5

5600		3.78788		0.0770141		5

5600		7.91666		0.515161		5

5600		3.66838		0.0655837		5

5600		1.8252		0.00260192		5

5600		3.715		0.125893		5

5600		1.851		0.0402518		5

5600		25.3879		0.289775		5

5600		25.766		1.27889		5

5600		25.3208		0.219953		5

5700		4.25598		0.449144		5

5700		7.76706		0.0564392		5

5700		3.82174		0.050841		5

5700		1.90644		0.034879		5

5700		3.80492		0.0399947		5

5700		1.89354		0.0023776		5

5700		26.8294		1.10155		5

5700		26.5744		0.954889		5

5700		27.3201		1.68656		5

5800		4.03274		0.0837116		5

5800		8.18818		0.235571		5

5800		4.11982		0.275305		5

5800		2.0055		0.0685402		5

5800		3.9983		0.11056		5

5800		2.02724		0.0998121		5

5800		27.4426		0.553404		5

5800		27.4577		0.979037		5

5800		27.6446		1.22469		5

5900		4.75696		1.33413		5

5900		8.53628		0.365729		5

5900		5.64006		1.46356		5

5900		2.08776		0.139749		5

5900		4.09724		0.0516846		5

5900		2.05842		0.0603656		5

5900		28.7719		0.890353		5

5900		28.3049		0.373735		5

5900		29.3217		2.18905		5

6000		4.58704		0.532035		5

6000		8.69254		0.121758		5

6000		4.21394		0.074979		5

6000		2.1181		0.0287593		5

6000		4.78444		1.20028		5

6000		2.10566		0.0113804		5

6000		30.7412		2.36004		5

6000		29.7939		1.29838		5

6000		30.4497		2.20856		5

6100		4.75928		0.304966		5

6100		9.80614		0.80607		5

6100		4.45414		0.325997		5

6100		2.52486		0.549065		5

6100		4.35208		0.0776221		5

6100		2.2803		0.121602		5

6100		30.7378		0.942417		5

6100		30.8529		1.63533		5

6100		30.4577		0.690537		5

6200		4.69322		0.12628		5

6200		9.24576		0.183374		5

6200		4.5101		0.135468		5

6200		2.34086		0.154794		5

6200		4.65478		0.387591		5

6200		2.32482		0.144349		5

6200		32.6722		1.45611		5

6200		31.9267		1.5779		5

6200		32.2629		1.99925		5

6300		4.80446		0.0748258		5

6300		9.53134		0.116255		5

6300		4.65112		0.127675		5

6300		2.78888		0.675855		5

6300		4.77074		0.17794		5

6300		2.84398		1.05468		5

6300		33.4708		2.98403		5

6300		32.6453		1.3653		5

6300		32.3191		0.702166		5

6400		5.18912		0.203838		5

6400		10.7431		0.646421		5

6400		5.41772		0.508661		5

6400		2.46492		0.117264		5

6400		5.69098		1.11094		5

6400		2.4791		0.133555		5

6400		35.4891		2.43092		5

6400		35.7797		2.01672		5

6400		36.3815		1.57907		5

6500		5.38004		0.538744		5

6500		11.256		0.599922		5

6500		5.10668		0.367431		5

6500		3.01778		0.136008		5

6500		5.36382		0.497263		5

6500		3.59964		0.602465		5

6500		35.3988		1.23074		5

6500		36.3632		1.77861		5

6500		36.6413		1.89729		5

6600		5.70802		0.370997		5

6600		11.2514		0.727008		5

6600		5.47646		0.676994		5

6600		2.5658		0.0836498		5

6600		5.58328		0.828171		5

6600		2.96438		0.598278		5

6600		37.8381		1.23771		5

6600		36.247		0.901084		5

6600		35.5184		0.51604		5

6700		6.16442		1.38459		5

6700		11.1429		0.463742		5

6700		5.209		0.0406468		5

6700		2.65334		0.105749		5

6700		5.26456		0.0651754		5

6700		2.6122		0.00550136		5

6700		37.8184		1.56095		5

6700		37.5513		2.16226		5

6700		37.7619		1.99565		5

6800		5.65246		0.271111		5

6800		11.851		1.72052		5

6800		5.39164		0.0651293		5

6800		2.9759		0.390374		5

6800		5.4515		0.16692		5

6800		2.84228		0.264125		5

6800		37.7774		0.629676		5

6800		38.2143		1.69658		5

6800		38.1139		1.52307		5

6900		5.91426		0.438292		5

6900		11.5528		0.221104		5

6900		5.53168		0.0133299		5

6900		2.76258		0.00497715		5

6900		6.08638		0.798863		5

6900		2.8927		0.262471		5

6900		40.0868		1.49321		5

6900		40.052		3.32018		5

6900		39.4057		0.544497		5

7000		5.91514		0.105998		5

7000		12.0469		0.453348		5

7000		5.81322		0.203086		5

7000		2.87018		0.0426272		5

7000		6.24146		1.03816		5

7000		2.8646		0.0357758		5

7000		40.793		1.39037		5

7000		40.328		1.11856		5

7000		39.4489		0.224423		5

7100		6.66854		1.33511		5

7100		12.0501		0.107519		5

7100		6.04564		0.29303		5

7100		2.92104		0.00287628		5

7100		5.9939		0.35528		5

7100		2.9435		0.0438539		5

7100		41.4666		0.877286		5

7100		41.6655		1.63478		5

7100		41.668		1.48878		5

7200		6.25796		0.153067		5

7200		12.6386		0.358039		5

7200		6.02272		0.0406826		5

7200		3.04942		0.10408		5

7200		6.11698		0.239468		5

7200		3.03634		0.050866		5

7200		44.5337		2.59547		5

7200		42.3203		0.93495		5

7200		42.6336		1.03751		5

7300		6.3837		0.0706602		5

7300		13.6381		0.540016		5

7300		6.56432		0.388231		5

7300		3.44694		0.405484		5

7300		6.64516		0.295677		5

7300		3.49318		0.741883		5

7300		45.2096		2.52373		5

7300		44.663		1.81568		5

7300		45.1335		1.16272		5

7400		6.79074		0.218715		5

7400		14.098		0.640175		5

7400		6.58518		0.293124		5

7400		3.2279		0.0770436		5

7400		7.00002		0.4918		5

7400		3.2509		0.0765552		5

7400		46.6376		1.7691		5

7400		45.8629		1.52846		5

7400		46.251		0.720548		5

7500		6.90812		0.263619		5

7500		14.4954		0.821643		5

7500		6.76334		0.138003		5

7500		3.3915		0.121673		5

7500		6.8786		0.175486		5

7500		3.3565		0.0425208		5

7500		47.3479		0.916964		5

7500		47.2992		1.84117		5

7500		46.6572		0.315119		5

7600		7.61854		0.459173		5

7600		14.7734		0.529637		5

7600		7.67288		0.453189		5

7600		3.652		0.087674		5

7600		7.13584		0.51278		5

7600		3.70708		0.168952		5

7600		50.336		1.9235		5

7600		50.7685		0.711189		5

7600		49.1535		1.30386		5

7700		8.67562		2.32226		5

7700		14.6219		0.931288		5

7700		7.06244		0.128319		5

7700		3.55214		0.153673		5

7700		7.10194		0.198177		5

7700		3.52028		0.130576		5

7700		50.7586		1.17911		5

7700		49.6175		1.2046		5

7700		49.0188		0.947962		5

7800		7.28252		0.0698164		5

7800		14.7987		0.296963		5

7800		7.2183		0.206294		5

7800		3.549		0.0433435		5

7800		7.44022		0.492459		5

7800		3.57982		0.0463551		5

7800		50.1403		0.989812		5

7800		51.1462		1.41373		5

7800		50.726		1.47495		5

7900		7.9458		0.561221		5

7900		15.9134		1.15871		5

7900		7.37316		0.31924		5

7900		3.62784		0.0375548		5

7900		7.72122		0.978578		5

7900		3.71074		0.100287		5

7900		52.7836		1.44247		5

7900		50.7687		0.954177		5

7900		51.1854		1.16611		5

8000		7.89716		0.280373		5

8000		16.0339		0.522852		5

8000		7.93384		0.536836		5

8000		3.83958		0.0297307		5

8000		7.56368		0.221603		5

8000		3.77414		0.0807478		5

8000		53.3205		0.812886		5

8000		54.346		1.74488		5

8000		54.2915		1.63579		5

8100		8.08554		0.124651		5

8100		16.6893		1.02752		5

8100		8.25994		1.23828		5

8100		3.85048		0.061482		5

8100		8.24222		0.586433		5

8100		3.9514		0.109959		5

8100		55.1525		1.35945		5

8100		54.7186		2.12653		5

8100		55.1708		1.79455		5

8200		8.12932		0.112342		5

8200		16.0478		0.045187		5

8200		8.09514		0.62507		5

8200		3.89294		0.00942141		5

8200		8.96792		1.99368		5

8200		3.94268		0.0911601		5

8200		56.5729		2.97017		5

8200		54.977		1.23391		5

8200		56.7054		1.26832		5

8300		8.4089		0.308276		5

8300		16.6947		0.212015		5

8300		8.08492		0.130737		5

8300		4.2822		0.599262		5

8300		8.455		0.544008		5

8300		4.55102		0.74795		5

8300		57.2866		1.99617		5

8300		56.8063		1.49338		5

8300		56.5817		1.1198		5

8400		9.37868		1.98347		5

8400		17.9709		2.22881		5

8400		8.50906		0.247484		5

8400		4.2002		0.167378		5

8400		8.46392		0.282901		5

8400		4.21578		0.169273		5

8400		58.4158		1.27038		5

8400		58.6992		1.86189		5

8400		58.5234		1.41523		5

8500		8.6409		0.0549903		5

8500		17.6672		0.542786		5

8500		8.62656		0.18883		5

8500		4.30342		0.173064		5

8500		8.83226		0.629232		5

8500		4.42306		0.332389		5

8500		60.3149		1.48341		5

8500		59.5725		1.57756		5

8500		60.1875		1.71939		5

8600		9.41034		0.885538		5

8600		18.8324		2.08599		5

8600		9.05536		1.10878		5

8600		4.45082		0.334256		5

8600		8.76414		0.160154		5

8600		4.43972		0.248941		5

8600		61.0036		1.66303		5

8600		61.4746		1.43762		5

8600		61.2331		1.53265		5

8700		9.45758		0.525169		5

8700		19.0791		1.69122		5

8700		8.83562		0.179906		5

8700		4.40976		0.0571515		5

8700		9.13784		0.698572		5

8700		4.48046		0.114783		5

8700		62.5249		1.14055		5

8700		63.6797		2.54761		5

8700		62.9697		1.1534		5

8800		9.78448		0.685355		5

8800		18.5714		0.294128		5

8800		9.21194		0.350281		5

8800		4.9393		0.933032		5

8800		9.01646		0.0691895		5

8800		4.57216		0.198998		5

8800		63.5405		0.939591		5

8800		63.1355		0.850844		5

8800		64.6833		1.74821		5

8900		9.46298		0.0642914		5

8900		20.2516		1.97124		5

8900		9.33156		0.308157		5

8900		4.60416		0.0560973		5

8900		9.22974		0.0862765		5

8900		4.63808		0.0991855		5

8900		65.4694		1.28343		5

8900		66.8172		4.06758		5

8900		66.9245		0.883098		5

9000		10.0526		0.587584		5

9000		19.52		0.545727		5

9000		9.6136		0.489175		5

9000		4.94862		0.288078		5

